DATE,KOSPI,KOSPI_200,KOSDAQ,SP_500,RUSSELL_3000,NIKKEI_225,SHANGHAI_A,HANGSENG,FTSE_100,DAX
2001-01-02,520.95,65.41,557.00,"1,283.27",701.19,,"2,224.59","14,869.90","6,174.70","6,289.82"
2001-01-03,521.43,65.38,569.00,"1,347.56",737.94,,"2,246.69","14,589.60","6,039.90","6,434.96"
2001-01-04,558.02,70.14,615.10,"1,333.34",728.61,"13,691.50","2,239.30","15,235.00","6,185.60","6,376.54"
2001-01-05,580.85,73.15,625.20,"1,298.35",707.95,"13,867.60","2,247.90","15,447.60","6,198.10","6,382.31"
2001-01-08,586.65,73.83,650.00,"1,295.86",705.99,,"2,223.80","15,436.50","6,149.60","6,392.17"
2001-01-09,589.92,74.20,678.20,"1,300.80",709.13,"13,610.50","2,223.00","15,500.60","6,088.10","6,404.52"
2001-01-10,560.81,70.49,639.60,"1,313.27",718.91,"13,432.60","2,248.25","15,435.80","6,059.86","6,320.07"
2001-01-11,561.79,70.38,675.10,"1,326.82",727.83,"13,201.10","2,241.58","15,090.80","6,114.90","6,465.21"
2001-01-12,587.87,74.04,713.60,"1,318.32",724.34,"13,347.70","2,226.24","15,295.40","6,165.50","6,490.03"
2001-01-15,599.00,75.58,765.20,,,"13,506.20","2,149.57","15,293.80","6,170.30","6,522.87"
2001-01-16,603.42,76.16,777.10,"1,326.65",729.23,"13,584.40","2,164.62","15,363.20","6,083.30","6,502.89"
2001-01-17,595.83,75.25,750.10,"1,329.47",731.29,"13,667.60","2,152.62","15,261.50","6,197.40","6,653.38"
2001-01-18,604.05,76.39,745.60,"1,347.97",740.06,"13,873.90","2,161.40","15,528.80","6,209.90","6,635.76"
2001-01-19,619.78,78.60,772.10,"1,342.54",735.71,"13,989.10","2,185.20","15,933.60","6,209.30","6,651.53"
2001-01-22,627.45,79.47,833.20,"1,342.90",736.25,"14,032.40","2,185.20","16,099.30","6,232.00","6,675.00"
2001-01-26,591.73,74.64,800.40,"1,354.95",743.57,"13,696.10","2,185.20",,"6,294.30","6,695.20"
2001-01-29,596.54,75.16,813.80,"1,364.17",749.83,"13,845.30","2,185.20","16,099.80","6,317.00","6,750.96"
2001-01-30,591.34,74.44,827.60,"1,373.73",754.96,"13,826.60","2,185.20","15,893.10","6,334.50","6,739.30"
2001-01-31,617.91,77.98,843.60,"1,366.01",749.98,"13,843.60","2,185.20","16,102.40","6,297.50","6,795.14"
2001-02-01,612.30,77.27,827.00,"1,373.47",753.19,"13,779.60","2,185.20","16,164.00","6,251.80","6,704.68"
2001-02-02,608.48,76.70,826.60,"1,349.47",739.52,"13,703.60","2,185.20","16,071.30","6,256.40","6,638.20"
2001-02-05,579.16,72.87,779.70,"1,354.31",741.48,"13,385.50","2,124.35","15,830.80","6,269.20","6,628.07"
2001-02-06,586.58,73.81,797.20,"1,352.26",741.73,"13,269.80","2,110.72","15,913.20","6,293.40","6,693.03"
2001-02-07,576.19,72.44,778.00,"1,340.89",734.94,"13,366.00","2,094.41","16,049.50","6,225.60","6,578.96"
2001-02-08,591.57,74.50,798.00,"1,332.53",730.36,"13,138.20","2,042.17","15,909.40","6,206.10","6,636.81"
2001-02-09,595.47,74.91,807.30,"1,314.76",721.01,"13,422.80","2,070.82","15,873.30","6,164.30","6,497.07"
2001-02-12,599.20,75.40,831.10,"1,330.17",729.48,,"2,075.57","15,693.10","6,241.40","6,564.91"
2001-02-13,598.78,75.28,840.80,"1,318.80",722.82,"13,274.70","2,077.96","15,842.70","6,228.50","6,557.93"
2001-02-14,603.83,75.90,853.10,"1,315.92",722.29,"13,284.10","2,077.32","15,860.40","6,176.20","6,479.87"
2001-02-15,603.63,75.88,873.80,"1,326.61",729.13,"13,327.40","2,059.50","15,756.40","6,197.90","6,591.67"
2001-02-16,604.92,76.08,863.20,"1,301.53",716.12,"13,175.50","2,054.43","15,630.30","6,088.30","6,439.26"
2001-02-19,596.67,74.91,872.90,,,"13,119.60","2,080.96","15,491.00","6,094.00","6,472.21"
2001-02-20,608.74,76.36,876.50,"1,278.94",702.78,"13,248.40","2,065.62","15,527.40","5,980.10","6,451.57"
2001-02-21,594.53,74.38,852.50,"1,255.27",689.95,"13,100.10","2,018.65","15,351.50","5,972.40","6,347.99"
2001-02-22,583.41,72.93,801.80,"1,252.82",687.37,"13,073.40","2,016.43","15,098.60","6,003.10","6,277.99"
2001-02-23,583.52,72.90,805.70,"1,245.86",684.85,"13,246.00","2,047.56","15,280.60","5,943.70","6,075.34"
2001-02-26,585.32,73.09,812.50,"1,267.65",697.58,"13,201.10","2,067.20","15,230.20","5,916.70","6,189.07"
2001-02-27,577.57,72.06,781.20,"1,257.94",690.31,"13,059.90","2,075.06","14,834.70","5,941.20","6,220.48"
2001-02-28,578.10,72.14,767.60,"1,239.94",680.52,"12,883.50","2,069.56","14,787.90","5,917.90","6,208.24"
2001-03-02,559.44,69.84,719.90,"1,234.18",678.43,"12,261.80","2,091.70","13,966.40","5,858.60","6,159.02"
2001-03-05,565.38,70.76,743.20,"1,241.41",682.20,"12,322.20","2,087.50","14,135.30","5,931.30","6,216.38"
2001-03-06,568.15,71.13,735.20,"1,253.80",689.21,"12,687.70","2,091.95","14,321.00","6,012.00","6,284.06"
2001-03-07,568.64,71.12,753.50,"1,261.89",693.06,"12,723.90","2,095.64","14,177.40","6,001.80","6,305.64"
2001-03-08,579.28,72.47,780.00,"1,264.74",692.92,"12,650.60","2,105.96","14,209.00","6,003.20","6,267.06"
2001-03-09,565.76,70.55,765.60,"1,233.42",675.94,"12,627.90","2,114.91","14,194.40","5,917.30","6,204.42"
2001-03-12,545.05,67.89,723.30,"1,180.16",647.09,"12,171.40","2,114.09","13,776.70","5,826.50","6,046.56"
2001-03-13,527.97,65.82,685.70,"1,197.66",657.50,"11,819.70","2,099.87","13,493.00","5,720.70","5,962.93"
2001-03-14,543.28,67.69,720.40,"1,166.71",641.12,"11,843.60","2,120.18","13,330.80","5,625.90","5,794.12"
2001-03-15,541.83,67.57,712.40,"1,173.56",643.54,"12,152.80","2,125.03","13,504.20","5,729.20","5,889.95"
2001-03-16,538.67,67.10,713.80,"1,150.53",630.29,"12,233.00","2,122.84","13,522.00","5,562.80","5,734.49"
2001-03-19,534.33,66.51,713.30,"1,170.81",642.12,"12,191.00","2,138.86","13,457.70","5,551.60","5,657.29"
2001-03-20,531.59,66.12,713.50,"1,142.62",626.59,,"2,148.45","13,223.90","5,646.80","5,782.16"
2001-03-21,532.59,66.26,712.70,"1,122.14",615.07,"13,103.90","2,169.55","13,154.40","5,540.70","5,622.09"
2001-03-22,527.05,65.47,706.40,"1,117.58",612.27,"12,854.00","2,189.54","12,621.80","5,314.80","5,388.02"
2001-03-23,537.97,67.01,706.10,"1,139.83",624.79,"13,214.50","2,156.61","12,583.40","5,402.30","5,544.67"
2001-03-26,545.98,68.04,727.70,"1,152.69",631.84,"13,862.30","2,192.07","12,950.50","5,576.60","5,726.97"
2001-03-27,532.90,66.25,718.60,"1,182.17",647.26,"13,638.30","2,209.23","12,707.90","5,728.10","5,938.21"
2001-03-28,528.79,65.77,705.80,"1,153.29",631.36,"13,765.50","2,208.45","12,851.40","5,614.00","5,817.52"
2001-03-29,523.80,65.18,691.40,"1,147.95",628.35,"13,072.40","2,203.28","12,677.90","5,588.40","5,879.30"
2001-03-30,523.22,65.16,684.30,"1,160.33",635.67,"12,999.70","2,214.69","12,760.60","5,633.70","5,829.95"
2001-04-02,515.20,64.12,682.90,"1,145.87",626.19,"12,937.90","2,226.90","12,727.30","5,618.50","5,760.76"
